   Time             I1                VP1               V3              
 8.019200000E-001  3.768733631E+000  3.720562031E+000  4.998518902E-001 
 8.019300000E-001  3.763402506E+000  3.720828340E+000  4.998518883E-001 
 8.019400000E-001  3.757911376E+000  3.721102679E+000  4.998518864E-001 
 8.019500000E-001  3.752281912E+000  3.721383964E+000  4.998518846E-001 
 8.019600000E-001  3.746536330E+000  3.721671086E+000  4.998518827E-001 
 8.019700000E-001  3.740697304E+000  3.721962913E+000  4.998518809E-001 
 8.019800000E-001  3.734787880E+000  3.722258291E+000  4.998518790E-001 
 8.019900000E-001  3.728831379E+000  3.722556055E+000  4.998518772E-001 
 8.020000000E-001  3.722851309E+000  3.722855031E+000  4.998518753E-001 
 8.020100000E-001  3.716871269E+000  3.723154038E+000  4.998518735E-001 
 8.020200000E-001  3.710914863E+000  3.723451896E+000  4.998518716E-001 
 8.020300000E-001  3.705005594E+000  3.723747430E+000  4.998518698E-001 
 8.020400000E-001  3.699166786E+000  3.724039473E+000  4.998518679E-001 
 8.020500000E-001  3.693421481E+000  3.724326873E+000  4.998518661E-001 
 8.020600000E-001  3.687792353E+000  3.724608496E+000  4.998518643E-001 
 8.020700000E-001  3.682301618E+000  3.724883229E+000  4.998518624E-001 
 8.020800000E-001  3.676970946E+000  3.725149990E+000  4.998518606E-001 
 8.020900000E-001  3.671821374E+000  3.725407724E+000  4.998518588E-001 
 8.021000000E-001  3.666873224E+000  3.725655416E+000  4.998518570E-001 
 8.021100000E-001  3.662146026E+000  3.725892087E+000  4.998518551E-001 
 8.021200000E-001  3.657658436E+000  3.726116803E+000  4.998518533E-001 
 8.021300000E-001  3.653428162E+000  3.726328678E+000  4.998518515E-001 
 8.021400000E-001  3.649471902E+000  3.726526875E+000  4.998518497E-001 
 8.021500000E-001  3.645805268E+000  3.726710612E+000  4.998518479E-001 
 8.021600000E-001  3.642442730E+000  3.726879165E+000  4.998518461E-001 
 8.021700000E-001  3.639397560E+000  3.727031867E+000  4.998518443E-001 
 8.021800000E-001  3.636681774E+000  3.727168116E+000  4.998518425E-001 
 8.021900000E-001  3.634306093E+000  3.727287375E+000  4.998518407E-001 
 8.022000000E-001  3.632279889E+000  3.727389172E+000  4.998518389E-001 
 8.022100000E-001  3.630611161E+000  3.727473107E+000  4.998518371E-001 
 8.022200000E-001  3.629306494E+000  3.727538847E+000  4.998518353E-001 
 8.022300000E-001  3.628371036E+000  3.727586134E+000  4.998518335E-001 
 8.022400000E-001  3.627808480E+000  3.727614781E+000  4.998518317E-001 
 8.022500000E-001  3.627621046E+000  3.727624674E+000  4.998518299E-001 
 8.022600000E-001  3.627809474E+000  3.727615774E+000  4.998518281E-001 
 8.022700000E-001  3.628373019E+000  3.727588118E+000  4.998518263E-001 
 8.022800000E-001  3.629309459E+000  3.727541813E+000  4.998518245E-001 
 8.022900000E-001  3.630615097E+000  3.727477043E+000  4.998518227E-001 
 8.023000000E-001  3.632284780E+000  3.727394063E+000  4.998518209E-001 
 8.023100000E-001  3.634311919E+000  3.727293201E+000  4.998518191E-001 
 8.023200000E-001  3.636688513E+000  3.727174855E+000  4.998518173E-001 
 8.023300000E-001  3.639405184E+000  3.727039492E+000  4.998518155E-001 
 8.023400000E-001  3.642451210E+000  3.726887645E+000  4.998518136E-001 
 8.023500000E-001  3.645814570E+000  3.726719915E+000  4.998518118E-001 
 8.023600000E-001  3.649481989E+000  3.726536964E+000  4.998518100E-001 
 8.023700000E-001  3.653438996E+000  3.726339512E+000  4.998518082E-001 
 8.023800000E-001  3.657669972E+000  3.726128340E+000  4.998518064E-001 
 8.023900000E-001  3.662158220E+000  3.725904282E+000  4.998518046E-001 
 8.024000000E-001  3.666886027E+000  3.725668220E+000  4.998518028E-001 
 8.024100000E-001  3.671834735E+000  3.725421087E+000  4.998518010E-001 
 8.024200000E-001  3.676984814E+000  3.725163858E+000  4.998517991E-001 
 8.024300000E-001  3.682315937E+000  3.724897549E+000  4.998517973E-001 
 8.024400000E-001  3.687807066E+000  3.724623210E+000  4.998517955E-001 
 8.024500000E-001  3.693436530E+000  3.724341924E+000  4.998517937E-001 
 8.024600000E-001  3.699182113E+000  3.724054801E+000  4.998517918E-001 
 8.024700000E-001  3.705021137E+000  3.723762974E+000  4.998517900E-001 
 8.024800000E-001  3.710930561E+000  3.723467595E+000  4.998517882E-001 
 8.024900000E-001  3.716887061E+000  3.723169830E+000  4.998517863E-001 
 8.025000000E-001  3.722867131E+000  3.722870854E+000  4.998517845E-001 
 8.025100000E-001  3.728847169E+000  3.722571846E+000  4.998517826E-001 
 8.025200000E-001  3.734803576E+000  3.722273988E+000  4.998517808E-001 
 8.025300000E-001  3.740712843E+000  3.721978453E+000  4.998517789E-001 
 8.025400000E-001  3.746551652E+000  3.721686410E+000  4.998517771E-001 
 8.025500000E-001  3.752296956E+000  3.721399009E+000  4.998517752E-001 
 8.025600000E-001  3.757926083E+000  3.721117386E+000  4.998517733E-001 
 8.025700000E-001  3.763416817E+000  3.720842652E+000  4.998517715E-001 
 8.025800000E-001  3.768747489E+000  3.720575891E+000  4.998517696E-001 
 8.025900000E-001  3.773897061E+000  3.720318156E+000  4.998517677E-001 
 8.026000000E-001  3.778845209E+000  3.720070463E+000  4.998517659E-001 
 8.026100000E-001  3.783572407E+000  3.719833792E+000  4.998517640E-001 
 8.026200000E-001  3.788059997E+000  3.719609075E+000  4.998517621E-001 
