   Time             Iac2              Iac1              Vac1              Vac2            
 8.001840000E-001 -3.240554491E-003  1.279197193E-003  3.982676857E+000  3.983445091E+000 
 8.001850000E-001 -3.260047787E-003  1.294461427E-003  3.982679532E+000  3.983442424E+000 
 8.001860000E-001 -3.279474914E-003  1.311065034E-003  3.982682222E+000  3.983439741E+000 
 8.001870000E-001 -3.298836759E-003  1.328917421E-003  3.982684927E+000  3.983437040E+000 
 8.001880000E-001 -3.318132880E-003  1.347922662E-003  3.982687649E+000  3.983434323E+000 
 8.001890000E-001 -3.337361498E-003  1.367988389E-003  3.982690390E+000  3.983431590E+000 
 8.001900000E-001 -3.356523948E-003  1.389022231E-003  3.982693149E+000  3.983428840E+000 
 8.001910000E-001 -3.375619340E-003  1.410928263E-003  3.982695927E+000  3.983426074E+000 
 8.001920000E-001 -3.394646786E-003  1.433614116E-003  3.982698726E+000  3.983423292E+000 
 8.001930000E-001 -3.413606287E-003  1.456983867E-003  3.982701546E+000  3.983420493E+000 
 8.001940000E-001 -3.432497397E-003  1.480945144E-003  3.982704387E+000  3.983417679E+000 
 8.001950000E-001 -3.451320119E-003  1.505403802E-003  3.982707250E+000  3.983414848E+000 
 8.001960000E-001 -3.470072674E-003  1.530262139E-003  3.982710136E+000  3.983412001E+000 
 8.001970000E-001 -3.488756839E-003  1.555431339E-003  3.982713043E+000  3.983409139E+000 
 8.001980000E-001 -3.507370394E-003  1.580813702E-003  3.982715974E+000  3.983406261E+000 
 8.001990000E-001 -3.525913783E-003  1.606313305E-003  3.982718927E+000  3.983403367E+000 
 8.002000000E-001 -3.544387006E-003  1.631843105E-003  3.982721903E+000  3.983400458E+000 
 8.002010000E-001 -3.562788287E-003  1.657300075E-003  3.982724901E+000  3.983397533E+000 
 8.002020000E-001 -3.581118957E-003  1.682598949E-003  3.982727921E+000  3.983394593E+000 
 8.002030000E-001 -3.599377685E-003  1.707642028E-003  3.982730963E+000  3.983391638E+000 
 8.002040000E-001 -3.617564026E-003  1.732336941E-003  3.982734027E+000  3.983388667E+000 
 8.002050000E-001 -3.635677981E-003  1.756593093E-003  3.982737112E+000  3.983385682E+000 
 8.002060000E-001 -3.653719105E-003  1.780316339E-003  3.982740217E+000  3.983382681E+000 
 8.002070000E-001 -3.671687399E-003  1.803414307E-003  3.982743342E+000  3.983379665E+000 
 8.002080000E-001 -3.689581529E-003  1.825796403E-003  3.982746485E+000  3.983376635E+000 
 8.002090000E-001 -3.707402385E-003  1.847373809E-003  3.982749647E+000  3.983373590E+000 
 8.002100000E-001 -3.725148634E-003  1.868054156E-003  3.982752826E+000  3.983370530E+000 
 8.002110000E-001 -3.742820276E-003  1.887748624E-003  3.982756021E+000  3.983367455E+000 
 8.002120000E-001 -3.760416423E-003  1.906366620E-003  3.982759231E+000  3.983364366E+000 
 8.002130000E-001 -3.777937518E-003  1.923821102E-003  3.982762454E+000  3.983361263E+000 
 8.002140000E-001 -3.795383119E-003  1.940025030E-003  3.982765690E+000  3.983358145E+000 
